gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
1229924067		application/octet-stream	https://static.inaturalist.org/photos/2885315/original.JPG?1452882617	http://naturewatch.org.nz/photos/2885315			2015-11-14T17:14Z	Aaron Jacobson		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Aaron Jacobson
1227769897		application/octet-stream	https://static.inaturalist.org/photos/2842242/original.jpeg?1451858330	http://www.inaturalist.org/photos/2842242			2016-01-03T20:22Z	allison189		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	allison189
1227769897		application/octet-stream	https://static.inaturalist.org/photos/2842245/original.jpeg?1451858343	http://www.inaturalist.org/photos/2842245			2016-01-03T20:22Z	allison189		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	allison189
1227762534		application/octet-stream	https://static.inaturalist.org/photos/2815343/original.jpeg?1451182688	http://www.inaturalist.org/photos/2815343			2015-12-27T00:28Z	Derek Broman		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Derek Broman
1227762534		application/octet-stream	https://static.inaturalist.org/photos/2815344/original.jpeg?1451182729	http://www.inaturalist.org/photos/2815344			2015-12-27T00:28Z	Derek Broman		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Derek Broman
1227762534		application/octet-stream	https://static.inaturalist.org/photos/2815345/original.jpeg?1451182737	http://www.inaturalist.org/photos/2815345			2015-12-27T00:28Z	Derek Broman		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Derek Broman
1227761980	StillImage	image/jpeg	https://static.inaturalist.org/photos/2813567/original.JPG?1451150553	http://conabio.inaturalist.org/photos/2813567			2014-10-23T02:13Z	David Alejandro B		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	David Alejandro B
1227761980	StillImage	image/jpeg	https://static.inaturalist.org/photos/2813568/original.JPG?1451150558	http://conabio.inaturalist.org/photos/2813568			2014-10-23T02:13Z	David Alejandro B		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	David Alejandro B
1227761980	StillImage	image/jpeg	https://static.inaturalist.org/photos/2813569/original.JPG?1451150562	http://conabio.inaturalist.org/photos/2813569			2014-10-23T02:13Z	David Alejandro B		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	David Alejandro B
1227761969	StillImage	image/jpeg	https://static.inaturalist.org/photos/2813581/original.JPG?1451150995	http://conabio.inaturalist.org/photos/2813581			2014-09-28T20:19Z	David Alejandro B		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	David Alejandro B
1227761969	StillImage	image/jpeg	https://static.inaturalist.org/photos/2813582/original.JPG?1451151000	http://conabio.inaturalist.org/photos/2813582			2014-09-28T20:19Z	David Alejandro B		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	David Alejandro B
1227761969	StillImage	image/jpeg	https://static.inaturalist.org/photos/2813583/original.JPG?1451151004	http://conabio.inaturalist.org/photos/2813583			2014-09-28T20:19Z	David Alejandro B		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	David Alejandro B
1227753399	StillImage	image/jpeg	https://static.inaturalist.org/photos/2780901/original.JPG?1450249659	http://www.inaturalist.org/photos/2780901			2014-09-21T21:03Z	Jess Nikolai		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Jess Nikolai
1227753399	StillImage	image/jpeg	https://static.inaturalist.org/photos/2780902/original.JPG?1450249713	http://www.inaturalist.org/photos/2780902			2014-09-21T21:05Z	Jess Nikolai		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Jess Nikolai
1227744866		application/octet-stream	https://static.inaturalist.org/photos/2748801/original.jpeg?1449460815	http://www.inaturalist.org/photos/2748801			2015-12-06T18:17Z	jessdemoss		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	jessdemoss
1211983163	StillImage	image/jpeg	https://static.inaturalist.org/photos/2589057/original.jpg?1446239515	http://www.inaturalist.org/photos/2589057			2015-10-28T20:21Z	Christine Hass		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Christine Hass
1211983163	StillImage	image/jpeg	https://static.inaturalist.org/photos/2589058/original.jpg?1446239511	http://www.inaturalist.org/photos/2589058			2015-10-28T20:21Z	Christine Hass		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Christine Hass
1147249080				http://macaulaylibrary.org/video/417385	Mountain Lion - Puma concolor concolor									
1147240258				http://macaulaylibrary.org/video/417405	Mountain Lion - Puma concolor concolor									
1147233618				http://macaulaylibrary.org/video/417395	Mountain Lion - Puma concolor concolor									
1147222014				http://macaulaylibrary.org/audio/89795	Cougar - Puma concolor									
1147220948				http://macaulaylibrary.org/video/417367	Mountain Lion - Puma concolor concolor									
1147207687				http://macaulaylibrary.org/audio/90209	Cougar - Puma concolor									
1147203636				http://macaulaylibrary.org/video/417383	Mountain Lion - Puma concolor concolor									
1147203414				http://macaulaylibrary.org/video/417373	Mountain Lion - Puma concolor concolor									
1147196145				http://macaulaylibrary.org/video/417380	Mountain Lion - Puma concolor concolor									
1147193839				http://macaulaylibrary.org/video/417379	Mountain Lion - Puma concolor concolor									
1147187164				http://macaulaylibrary.org/video/417389	Mountain Lion - Puma concolor concolor									
1147183171				http://macaulaylibrary.org/audio/90207	Cougar - Puma concolor									
1147162842				http://macaulaylibrary.org/video/417404	Mountain Lion - Puma concolor concolor									
1147161579				http://macaulaylibrary.org/video/417393	Mountain Lion - Puma concolor concolor									
1147160368				http://macaulaylibrary.org/video/417401	Mountain Lion - Puma concolor concolor									
1147159873				http://macaulaylibrary.org/video/417396	Mountain Lion - Puma concolor concolor									
1147159539				http://macaulaylibrary.org/video/417382	Mountain Lion - Puma concolor concolor									
1147157533				http://macaulaylibrary.org/video/417384	Mountain Lion - Puma concolor concolor									
1147154156				http://macaulaylibrary.org/video/417397	Mountain Lion - Puma concolor concolor									
1147152755				http://macaulaylibrary.org/video/417372	Mountain Lion - Puma concolor concolor									
1147147785				http://macaulaylibrary.org/audio/90208	Cougar - Puma concolor									
1147144369				http://macaulaylibrary.org/video/417386	Mountain Lion - Puma concolor concolor									
1147137050				http://macaulaylibrary.org/video/417390	Mountain Lion - Puma concolor concolor									
1147134551				http://macaulaylibrary.org/video/417371	Mountain Lion - Puma concolor concolor									
1147132114				http://macaulaylibrary.org/audio/120917	Cougar - Puma concolor									
1147123587				http://macaulaylibrary.org/video/417388	Mountain Lion - Puma concolor concolor									
1147119923				http://macaulaylibrary.org/video/417381	Mountain Lion - Puma concolor concolor									
1147112582				http://macaulaylibrary.org/audio/55369	Cougar - Puma concolor									
1147111700				http://macaulaylibrary.org/video/417391	Mountain Lion - Puma concolor concolor									
1147110375				http://macaulaylibrary.org/audio/21013	Cougar - Puma concolor									
1147103479				http://macaulaylibrary.org/audio/126383	Cougar - Puma concolor									
1147101433				http://macaulaylibrary.org/video/417399	Mountain Lion - Puma concolor concolor									
1147099293				http://macaulaylibrary.org/video/417394	Mountain Lion - Puma concolor concolor									
1147091887				http://macaulaylibrary.org/audio/110769	Cougar - Puma concolor									
1147088901				http://macaulaylibrary.org/video/417369	Mountain Lion - Puma concolor concolor									
1147088299				http://macaulaylibrary.org/audio/55367	Cougar - Puma concolor									
1147082919				http://macaulaylibrary.org/video/417387	Mountain Lion - Puma concolor concolor									
1147080956				http://macaulaylibrary.org/video/417368	Mountain Lion - Puma concolor concolor									
1147077725				http://macaulaylibrary.org/video/417400	Mountain Lion - Puma concolor concolor									
1147076785				http://macaulaylibrary.org/video/417374	Mountain Lion - Puma concolor concolor									
1147075385				http://macaulaylibrary.org/video/417375	Mountain Lion - Puma concolor concolor									
1147074532				http://macaulaylibrary.org/video/417398	Mountain Lion - Puma concolor concolor									
1147071686				http://macaulaylibrary.org/video/417403	Mountain Lion - Puma concolor concolor									
1147066378				http://macaulaylibrary.org/video/417378	Mountain Lion - Puma concolor concolor									
1147057789				http://macaulaylibrary.org/video/417370	Mountain Lion - Puma concolor concolor									
1147057622				http://macaulaylibrary.org/video/417377	Mountain Lion - Puma concolor concolor									
1147053695				http://macaulaylibrary.org/audio/126381	Cougar - Puma concolor									
1147052246				http://macaulaylibrary.org/audio/55368	Cougar - Puma concolor									
1147051567				http://macaulaylibrary.org/audio/126382	Cougar - Puma concolor									
1145851536	StillImage	image/jpeg	http://arctos.database.museum/media/10003188?open	http://arctos.database.museum/media/10003188	Juvenile wild cat; juvenile mountain lion	Juvenile wild cat; juvenile mountain lion		Joseph S. Dixon						
1145851536	StillImage	image/jpeg	http://arctos.database.museum/media/10003189?open	http://arctos.database.museum/media/10003189	Juv. mountain lion; juv. wild cat: showing head and ears; note rounded ear of lion, pointed ear of wild cat, which are bounty characteristics	Juv. mountain lion; juv. wild cat: showing head and ears; note rounded ear of lion, pointed ear of wild cat, which are bounty characteristics		Joseph S. Dixon						
1145851536				http://arctos.database.museum/MediaSearch.cfm?collection_object_id=10055306										
